"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.749136800E-2,6.221338734E-2,3.517449200E-1,9.680164337E0,9.686752634E0
1.985204500E-2,3.828516230E-2,3.421736360E-1,9.653842926E0,9.659980942E0
2.221272200E-2,7.417750359E-2,3.278166950E-1,9.629914284E0,9.635777872E0
2.457334700E-2,6.460621208E-2,3.326023519E-1,9.632308006E0,9.638265187E0
2.693402400E-2,6.460621208E-2,3.732803464E-1,9.708877563E0,9.716265523E0
2.929464900E-2,6.460621208E-2,3.326023519E-1,9.744770050E0,9.750658522E0
3.165532600E-2,7.657032460E-2,3.326023519E-1,9.790233612E0,9.796180966E0
3.401595100E-2,7.657032460E-2,3.517449200E-1,9.828518867E0,9.835109081E0
3.637662900E-2,9.332008660E-2,3.182454109E-1,9.797411919E0,9.803023466E0
3.873730600E-2,6.699903309E-2,3.326023519E-1,9.804591179E0,9.810459795E0
4.109793100E-2,6.939185411E-2,3.302095234E-1,9.775876999E0,9.781698455E0
4.345860800E-2,4.785645381E-2,3.493520916E-1,9.720842361E0,9.727235647E0
4.581923300E-2,5.264209956E-2,3.206382394E-1,9.689735413E0,9.695181919E0
4.817991000E-2,4.307080805E-2,3.397808075E-1,9.665806770E0,9.671872963E0
5.054053500E-2,5.982056633E-2,3.278166950E-1,9.658628464E0,9.664375101E0
5.290121200E-2,4.785645381E-2,3.589234054E-1,9.689735413E0,9.696498781E0
5.526188900E-2,9.332008660E-2,3.254238665E-1,9.723235130E0,9.729126925E0
5.762251400E-2,7.178468257E-2,3.302095234E-1,9.754341125E0,9.760192732E0
5.998319100E-2,7.896314561E-2,3.302095234E-1,9.773484230E0,9.779379710E0
6.234381600E-2,8.135596663E-2,3.349951804E-1,9.780662537E0,9.786735933E0
6.470449300E-2,7.657032460E-2,3.349951804E-1,9.783055305E0,9.789088614E0
6.706511800E-2,8.374879509E-2,3.469592929E-1,9.759127617E0,9.765652382E0
6.942579500E-2,8.853443712E-2,3.158525825E-1,9.737591743E0,9.743115219E0
7.178642000E-2,7.896314561E-2,3.254238665E-1,9.725627899E0,9.731391160E0
7.414709700E-2,6.221338734E-2,3.517449200E-1,9.694520950E0,9.701099497E0
7.650777400E-2,5.742774159E-2,3.254238665E-1,9.701699257E0,9.707325435E0
7.886839900E-2,3.828516230E-2,3.445664644E-1,9.696913719E0,9.703109166E0
8.122907600E-2,5.503492057E-2,3.541377485E-1,9.704092026E0,9.710707720E0
8.358970100E-2,6.460621208E-2,3.493520916E-1,9.723235130E0,9.729723647E0
8.595037900E-2,7.657032460E-2,3.493520916E-1,9.747162819E0,9.753722003E0
8.831105600E-2,8.374879509E-2,3.421736360E-1,9.780662537E0,9.787004461E0
9.067168100E-2,4.307080805E-2,3.158525825E-1,9.790233612E0,9.795421998E0
9.303235800E-2,7.657032460E-2,3.373879790E-1,9.766305923E0,9.772431890E0
9.539298300E-2,6.221338734E-2,3.541377485E-1,9.754341125E0,9.760965877E0
9.775366000E-2,7.178468257E-2,3.589234054E-1,9.716055870E0,9.722948150E0
1.001142850E-1,4.785645381E-2,3.708875179E-1,9.694520950E0,9.701730992E0
1.024749620E-1,5.982056633E-2,3.493520916E-1,9.718449593E0,9.724910687E0
1.048356390E-1,8.135596663E-2,3.517449200E-1,9.701699257E0,9.708414482E0
1.071962640E-1,6.221338734E-2,3.373879790E-1,9.711270332E0,9.717328471E0
1.095569410E-1,6.699903309E-2,3.278166950E-1,9.735198975E0,9.740947168E0
1.119175660E-1,6.699903309E-2,3.062812984E-1,9.747162819E0,9.752203860E0
1.142782430E-1,1.076770201E-1,3.397808075E-1,9.759127617E0,9.765634500E0
1.166388680E-1,7.896314561E-2,3.421736360E-1,9.778269768E0,9.784573451E0
1.189995450E-1,6.939185411E-2,3.589234054E-1,9.759127617E0,9.765972204E0
1.213602220E-1,7.178468257E-2,3.421736360E-1,9.744770050E0,9.751039902E0
1.237208470E-1,8.853443712E-2,3.302095234E-1,9.728020668E0,9.734026032E0
1.260815240E-1,7.417750359E-2,3.278166950E-1,9.723235130E0,9.729042475E0
1.284421490E-1,7.896314561E-2,3.565305769E-1,9.706484795E0,9.713351445E0
1.308028260E-1,8.374879509E-2,3.493520916E-1,9.706484795E0,9.713130691E0
1.331634510E-1,7.896314561E-2,3.589234054E-1,9.716055870E0,9.723003798E0
1.355241290E-1,5.264209956E-2,3.349951804E-1,9.713663101E0,9.719580434E0
1.378848060E-1,7.178468257E-2,3.613162339E-1,9.749555588E0,9.756512523E0
1.402454310E-1,6.699903309E-2,3.541377485E-1,9.754341125E0,9.760997552E0
1.426061080E-1,6.460621208E-2,3.373879790E-1,9.744770050E0,9.750822937E0
1.449667330E-1,5.503492057E-2,3.206382394E-1,9.751948357E0,9.757373339E0
1.473274100E-1,5.982056633E-2,3.421736360E-1,9.749555588E0,9.755741666E0
1.496880350E-1,6.939185411E-2,3.517449200E-1,9.756733894E0,9.763318903E0
1.520487120E-1,6.699903309E-2,3.326023519E-1,9.744770050E0,9.750674670E0
1.544093370E-1,5.264209956E-2,3.373879790E-1,9.732806206E0,9.738794508E0
1.567700140E-1,7.417750359E-2,3.469592929E-1,9.739984512E0,9.746444549E0
1.591306910E-1,6.699903309E-2,3.541377485E-1,9.742377281E0,9.749041876E0
1.614913160E-1,5.742774159E-2,3.349951804E-1,9.732806206E0,9.738738951E0
1.638519930E-1,7.417750359E-2,3.326023519E-1,9.730413437E0,9.736378807E0
1.662126180E-1,6.221338734E-2,3.397808075E-1,9.749555588E0,9.755672999E0
1.685732950E-1,8.374879509E-2,3.373879790E-1,9.744770050E0,9.750968559E0
1.709339200E-1,5.024927482E-2,3.230310678E-1,9.754341125E0,9.759817870E0
