"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.996453800E-2,4.115701467E-2,6.185005885E-3,6.291907281E-2,7.543847743E-2
5.232516300E-2,4.360047355E-2,3.130682046E-3,6.169734150E-2,7.561325553E-2
5.468578800E-2,4.482220486E-2,2.519817324E-3,6.108647957E-2,7.580855832E-2
5.704646500E-2,4.482220486E-2,7.635809743E-5,5.986474827E-2,7.478518546E-2
5.940703800E-2,4.482220486E-2,-1.756236190E-3,5.681042373E-2,7.238465762E-2
6.176776700E-2,4.298960790E-2,-4.199695308E-3,5.497783050E-2,6.991641921E-2
6.412839200E-2,4.543306679E-2,-7.864884101E-3,5.192350596E-2,6.944112924E-2
6.648901700E-2,4.421133921E-2,-9.697478265E-3,4.825831577E-2,6.616304588E-2
6.884969400E-2,4.421133921E-2,-9.697478265E-3,4.398226365E-2,6.311198868E-2
7.121031900E-2,4.176788032E-2,-9.086613543E-3,4.092793912E-2,5.917954522E-2
7.357094400E-2,4.054614902E-2,-8.475748822E-3,3.787361458E-2,5.612699172E-2
7.593162100E-2,4.176788032E-2,-7.864884101E-3,3.481929377E-2,5.494356602E-2
7.829224600E-2,3.810269013E-2,-7.254019380E-3,3.115410358E-2,4.974951218E-2
8.065292300E-2,3.993528336E-2,-5.421424750E-3,2.687804960E-2,4.844221562E-2
8.301354800E-2,3.810269013E-2,-4.810560029E-3,2.504545636E-2,4.585009670E-2
8.537422600E-2,4.115701467E-2,-6.032289471E-3,2.138026804E-2,4.676969354E-2
8.773485100E-2,3.810269013E-2,-5.421424750E-3,1.710421406E-2,4.211604184E-2
9.009547600E-2,3.932442144E-2,-6.032289471E-3,1.221729536E-2,4.161803627E-2
9.245615300E-2,4.054614902E-2,-6.643154658E-3,8.552107029E-3,4.196737112E-2
9.481677800E-2,3.749182448E-2,-9.086613543E-3,6.108647678E-3,3.905789325E-2
9.717745500E-2,3.993528336E-2,-1.153007243E-2,1.832594397E-3,4.160682432E-2
9.953808000E-2,3.810269013E-2,-1.336266659E-2,-6.108647794E-4,4.038253347E-2
1.018987050E-1,3.932442144E-2,-1.641699113E-2,-4.886918236E-3,4.289300280E-2
1.042593820E-1,3.871355578E-2,-1.947131567E-2,-7.330377586E-3,4.395003948E-2
1.066200070E-1,4.176788032E-2,-2.191477455E-2,-9.162971750E-3,4.804969533E-2
1.089806840E-1,3.993528336E-2,-2.374736778E-2,-1.099556591E-2,4.774585640E-2
1.113413090E-1,4.237874225E-2,-2.313650399E-2,-1.282816008E-2,4.995815552E-2
1.137019340E-1,4.237874225E-2,-2.191477455E-2,-1.466075517E-2,4.991145039E-2
1.160626110E-1,4.115701467E-2,-2.252563834E-2,-1.404988952E-2,4.897656209E-2
1.184232360E-1,4.115701467E-2,-2.252563834E-2,-1.466075517E-2,4.915528437E-2
1.207839130E-1,4.237874225E-2,-2.252563834E-2,-1.404988952E-2,5.000761515E-2
1.231445380E-1,4.237874225E-2,-2.130390890E-2,-1.343902480E-2,4.929930746E-2
1.255052150E-1,3.932442144E-2,-2.069304511E-2,-1.221729536E-2,4.608551337E-2
1.278658400E-1,3.871355578E-2,-1.947131567E-2,-1.099556591E-2,4.470765041E-2
1.302264650E-1,3.810269013E-2,-1.763872057E-2,-9.773836471E-3,4.310994477E-2
1.325871420E-1,3.382663801E-2,-1.641699113E-2,-7.941242307E-3,3.842944661E-2
1.349477670E-1,3.077231348E-2,-1.397353224E-2,-4.886918236E-3,3.414786743E-2
1.373084440E-1,2.832885459E-2,-1.153007243E-2,-1.832594397E-3,3.064025089E-2
1.396690690E-1,2.710712515E-2,-1.153007243E-2,-6.108647794E-4,2.946373975E-2
1.420296940E-1,2.527453005E-2,-1.030834299E-2,6.108647794E-4,2.730269145E-2
1.443903710E-1,2.099847607E-2,-8.475748822E-3,4.276053514E-3,2.304471630E-2
1.467509960E-1,1.855501719E-2,-8.475748822E-3,6.108647678E-3,2.129419070E-2
1.491116730E-1,1.733328775E-2,-9.086613543E-3,6.719512399E-3,2.069205782E-2
