"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","22127RK46C"
"deviceBrand","Redmi"
"deviceBoard","kalama"
"deviceManufacturer","Xiaomi"
"deviceBaseOS","Redmi/socrates/socrates:16/BP2A.250605.031.A3/OS3.0.302.0.WMKCNXM:user/release-keys"
"deviceCodename","REL"
"deviceRelease","16"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","lsm6dso Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.17"
"accelerometer Version","142926"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","156.91"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","QTI"
"gravity Range","156.91"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","lsm6dso Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","17.453018"
"gyroscope Resolution","6.108648E-4"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.55"
"gyroscope Version","142926"
"magnetic_field Name","qmc630x Magnetometer Non-wakeup"
"magnetic_field Vendor","QST"
"magnetic_field Range","3000.0"
"magnetic_field Resolution","0.1"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.5"
"magnetic_field Version","131329"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","stk_stk3bcx Ambient Light Sensor Non-wakeup"
"light Vendor","sensortek"
"light Range","4095.9001"
"light Resolution","0.54"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.09"
"light Version","103"
"proximity Name","proximity Proximity Sensor Wakeup"
"proximity Vendor","XiaoMi(V1.6)"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","rotation vector  Non-wakeup"
"attitude Vendor","xiaomi"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","210000"
"attitude Power","0.001"
"attitude Version","1"
"custom Name","Dynamic Sensor Manager"
"custom Vendor","Google"
"custom Range","1.0"
"custom Resolution","1.0"
"custom MinDelay","1000"
"custom MaxDelay","1000"
"custom Power","0.001"
"custom Version","1"
